DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA
10303.0,27.892901,75.725715,R,RAJASTHAN,Jhunjhunun
10304.0,27.887754,75.754158,U,RAJASTHAN,Jhunjhunun
10305.0,28.243127,75.983367,R,RAJASTHAN,Jhunjhunun
10306.0,27.762762,75.406032,R,RAJASTHAN,Jhunjhunun
10307.0,27.784928,75.639421,R,RAJASTHAN,Jhunjhunun
10308.0,28.349608,75.198432,R,RAJASTHAN,Jhunjhunun
10309.0,28.196673,75.297001,R,RAJASTHAN,Jhunjhunun
10310.0,28.34131,75.519705,R,RAJASTHAN,Jhunjhunun
10311.0,27.807039,75.326458,R,RAJASTHAN,Jhunjhunun
10312.0,28.127134,75.278908,R,RAJASTHAN,Jhunjhunun
10313.0,28.049666,75.361062,R,RAJASTHAN,Jhunjhunun
10314.0,28.098964,75.866217,R,RAJASTHAN,Jhunjhunun
10315.0,28.162111,75.701474,R,RAJASTHAN,Jhunjhunun
10316.0,28.188563,75.744397,U,RAJASTHAN,Jhunjhunun
10317.0,28.236356,75.668774,R,RAJASTHAN,Jhunjhunun
10318.0,27.735017,75.633851,R,RAJASTHAN,Jhunjhunun
10319.0,28.182934,75.656545,R,RAJASTHAN,Jhunjhunun
10320.0,27.870434,75.520257,R,RAJASTHAN,Jhunjhunun
10321.0,28.006969,75.798082,U,RAJASTHAN,Jhunjhunun
10322.0,28.088472,75.399346,R,RAJASTHAN,Jhunjhunun
10323.0,28.137351,75.485041,R,RAJASTHAN,Jhunjhunun
10324.0,28.011351,75.973187,R,RAJASTHAN,Jhunjhunun
10325.0,28.287492,75.160298,R,RAJASTHAN,Jhunjhunun
10326.0,27.853407,75.265437,U,RAJASTHAN,Jhunjhunun
10327.0,27.748355,75.452187,U,RAJASTHAN,Jhunjhunun
10328.0,28.066062,75.121379,U,RAJASTHAN,Jhunjhunun
10329.0,27.961364,75.408816,R,RAJASTHAN,Jhunjhunun
10330.0,27.851599,75.584412,R,RAJASTHAN,Jhunjhunun
10331.0,28.150494,75.859797,R,RAJASTHAN,Jhunjhunun
10332.0,28.025734,75.258014,R,RAJASTHAN,Jhunjhunun
10333.0,28.052214,75.662968,R,RAJASTHAN,Jhunjhunun
10334.0,28.31037,75.657096,R,RAJASTHAN,Jhunjhunun
10335.0,28.283035,75.945399,R,RAJASTHAN,Jhunjhunun
10336.0,28.244666,75.069204,U,RAJASTHAN,Jhunjhunun
10337.0,28.109195,75.397128,U,RAJASTHAN,Jhunjhunun
10338.0,28.118482,75.422771,U,RAJASTHAN,Jhunjhunun
10339.0,28.078881,75.597354,R,RAJASTHAN,Jhunjhunun
10340.0,28.419154,75.753974,R,RAJASTHAN,Jhunjhunun
10341.0,27.89267,75.533062,R,RAJASTHAN,Jhunjhunun
10342.0,28.116969,75.606308,R,RAJASTHAN,Jhunjhunun
10343.0,28.353558,75.552686,R,RAJASTHAN,Jhunjhunun
10344.0,28.397419,75.693715,R,RAJASTHAN,Jhunjhunun
10345.0,27.92901,75.854296,R,RAJASTHAN,Jhunjhunun
10401.0,27.542377,76.593497,U,RAJASTHAN,Alwar
10402.0,27.279943,76.762002,R,RAJASTHAN,Alwar
10403.0,27.197971,76.958199,R,RAJASTHAN,Alwar
10404.0,27.561272,76.657869,U,RAJASTHAN,Alwar
10405.0,27.536199,76.562402,R,RAJASTHAN,Alwar
10406.0,27.599872,76.712187,R,RAJASTHAN,Alwar
10407.0,27.694901,76.504521,R,RAJASTHAN,Alwar
10408.0,27.191088,76.775052,R,RAJASTHAN,Alwar
10409.0,27.570022,76.937725,R,RAJASTHAN,Alwar
10410.0,27.268759,77.053923,R,RAJASTHAN,Alwar
10411.0,27.624958,76.659855,R,RAJASTHAN,Alwar
10412.0,27.933453,76.465363,R,RAJASTHAN,Alwar
10413.0,27.857809,76.299778,R,RAJASTHAN,Alwar
10414.0,27.27145,76.511673,R,RAJASTHAN,Alwar
10415.0,28.101758,76.366465,R,RAJASTHAN,Alwar
10416.0,27.540971,76.648895,U,RAJASTHAN,Alwar
10417.0,27.892817,76.521817,R,RAJASTHAN,Alwar
10418.0,27.195323,77.052545,R,RAJASTHAN,Alwar
10419.0,27.496949,76.876705,R,RAJASTHAN,Alwar
10420.0,27.982112,76.431075,R,RAJASTHAN,Alwar
10421.0,27.550728,76.743689,U,RAJASTHAN,Alwar
10422.0,27.448201,76.530672,R,RAJASTHAN,Alwar
10423.0,27.426729,76.523768,R,RAJASTHAN,Alwar
10424.0,27.888099,76.60429,R,RAJASTHAN,Alwar
10425.0,27.524977,76.307735,R,RAJASTHAN,Alwar
10426.0,27.892989,76.298384,U,RAJASTHAN,Alwar
10427.0,27.197454,76.635186,R,RAJASTHAN,Alwar
10428.0,27.568672,76.606826,U,RAJASTHAN,Alwar
10429.0,27.639683,76.361082,R,RAJASTHAN,Alwar
10430.0,27.595758,76.459195,R,RAJASTHAN,Alwar
10431.0,28.093088,76.838613,R,RAJASTHAN,Alwar
10432.0,27.755629,76.774409,R,RAJASTHAN,Alwar
10433.0,27.956793,76.751507,R,RAJASTHAN,Alwar
10434.0,28.060105,76.789331,R,RAJASTHAN,Alwar
10435.0,27.851011,76.465957,R,RAJASTHAN,Alwar
10436.0,27.562238,76.639898,U,RAJASTHAN,Alwar
10437.0,27.183044,76.982866,R,RAJASTHAN,Alwar
10438.0,27.889815,76.295431,U,RAJASTHAN,Alwar
10439.0,27.582354,76.815212,R,RAJASTHAN,Alwar
10440.0,27.140977,76.624933,R,RAJASTHAN,Alwar
10441.0,27.853354,76.257911,R,RAJASTHAN,Alwar
10442.0,27.787591,76.319033,R,RAJASTHAN,Alwar
10443.0,28.048625,76.179759,R,RAJASTHAN,Alwar
10444.0,27.300366,77.034188,R,RAJASTHAN,Alwar
10445.0,27.140431,76.648631,R,RAJASTHAN,Alwar
10501.0,27.214507,77.207701,U,RAJASTHAN,Bharatpur
10502.0,27.707149,77.288664,R,RAJASTHAN,Bharatpur
10503.0,27.201181,77.416199,R,RAJASTHAN,Bharatpur
10504.0,27.001675,77.175442,U,RAJASTHAN,Bharatpur
10505.0,27.420446,77.324865,R,RAJASTHAN,Bharatpur
10506.0,27.619932,77.040135,R,RAJASTHAN,Bharatpur
10507.0,27.139385,77.48346,R,RAJASTHAN,Bharatpur
10508.0,27.043675,77.02549,R,RAJASTHAN,Bharatpur
