DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
13423.0,R,Bijnor,NFHS5,5000,268331.0,0.179,32,36,"{268331.0: 179, 55599.0: 117, 55655.0: 86, 55654.0: 61, 55634.0: 49, 55601.0: 42, 55665.0: 42, 55664.0: 36, 55630.0: 31, 55657.0: 26, 268357.0: 25, 55590.0: 25, 55666.0: 24, 55604.0: 23, 55659.0: 21, 268317.0: 20, 55650.0: 20, 55623.0: 19, 55653.0: 19, 55615.0: 18, 55609.0: 17, 55610.0: 14, 55675.0: 9, 55586.0: 8, 55614.0: 8, 55643.0: 6, 55671.0: 5, 55661.0: 5, 55584.0: 3, 238571.0: 3, 268293.0: 2, 55607.0: 1}"
13424.0,R,Bijnor,NFHS5,5000,55143.0,0.136,23,417,"{55143.0: 136, 55361.0: 53, 55374.0: 50, 55151.0: 40, 55153.0: 39, 55173.0: 36, 55189.0: 36, 55391.0: 27, 55363.0: 26, 55154.0: 24, 55371.0: 22, 55194.0: 14, 55195.0: 12, 55152.0: 12, 55396.0: 11, 55312.0: 9, 55369.0: 8, 55196.0: 8, 55388.0: 6, 55402.0: 5, 55356.0: 4, 55146.0: 4, 266946.0: 1}"
13425.0,R,Bijnor,NFHS5,5000,55493.0,0.143,48,101,"{55493.0: 143, 55521.0: 64, 55506.0: 43, 55513.0: 40, 55526.0: 36, 267348.0: 35, 55567.0: 34, 55549.0: 33, 55541.0: 33, 55544.0: 31, 55543.0: 30, 55495.0: 27, 55503.0: 26, 270063.0: 26, 55508.0: 24, 55515.0: 22, 55510.0: 20, 55536.0: 18, 55492.0: 18, 55554.0: 16, 55551.0: 15, 55556.0: 15, 55559.0: 14, 55507.0: 14, 55496.0: 12, 55576.0: 12, 55528.0: 10, 267353.0: 9, 55547.0: 7, 55663.0: 6, 55520.0: 6, 55571.0: 5, 55562.0: 5, 55512.0: 4, 55552.0: 4, 55578.0: 4, 54948.0: 4, 54914.0: 4, 54955.0: 4, 55523.0: 4, 55592.0: 4, 54956.0: 3, 55500.0: 3, 54908.0: 3, 55563.0: 3, 55516.0: 2, 54886.0: 2, 55579.0: 2}"
13429.0,R,Bijnor,NFHS5,5000,55609.0,0.204,33,82,"{55609.0: 204, 55586.0: 79, 55615.0: 62, 55610.0: 57, 55613.0: 49, 55599.0: 40, 55640.0: 36, 55650.0: 32, 55584.0: 30, 55661.0: 30, 268317.0: 27, 55654.0: 26, 54854.0: 24, 55653.0: 22, 55655.0: 22, 55605.0: 20, 54831.0: 18, 55669.0: 18, 55614.0: 16, 55659.0: 16, 54865.0: 16, 268343.0: 15, 55638.0: 12, 268331.0: 11, 54861.0: 8, 54806.0: 7, 55634.0: 5, 55611.0: 4, 268167.0: 3, 54808.0: 3, 55604.0: 3, 55607.0: 2, 55660.0: 1}"
13430.0,R,Bijnor,NFHS5,5000,55029.0,0.092,24,389,"{55029.0: 92, 55130.0: 78, 55076.0: 57, 266804.0: 52, 55049.0: 45, 55126.0: 40, 55094.0: 37, 55111.0: 30, 55092.0: 24, 55024.0: 24, 55113.0: 20, 55121.0: 18, 266814.0: 17, 55054.0: 14, 55090.0: 11, 55040.0: 10, 55052.0: 9, 55114.0: 8, 55009.0: 7, 55119.0: 7, 55050.0: 7, 55045.0: 2, 55098.0: 1, 55088.0: 1}"
13431.0,R,Bijnor,NFHS5,5000,54775.0,0.12,8,691,"{54775.0: 120, 54757.0: 75, 54792.0: 50, 54753.0: 23, 54768.0: 15, 54780.0: 15, 54759.0: 9, 54779.0: 2}"
13432.0,R,Bijnor,NFHS5,5000,266763.0,0.112,28,48,"{266763.0: 112, 55096.0: 104, 55056.0: 94, 55053.0: 63, 245664.0: 59, 55051.0: 50, 55101.0: 48, 55062.0: 46, 55132.0: 35, 55067.0: 34, 55097.0: 34, 55128.0: 26, 55059.0: 25, 55066.0: 23, 55061.0: 21, 241767.0: 21, 55135.0: 20, 55123.0: 19, 55127.0: 17, 241768.0: 17, 55133.0: 17, 55048.0: 16, 55058.0: 15, 55046.0: 14, 55102.0: 9, 55065.0: 7, 55116.0: 5, 264973.0: 1}"
13433.0,R,Bijnor,NFHS5,5000,55040.0,0.197,34,124,"{55040.0: 197, 55024.0: 161, 54964.0: 56, 55043.0: 47, 55002.0: 46, 54996.0: 38, 54986.0: 30, 55038.0: 29, 55009.0: 29, 55052.0: 27, 55035.0: 25, 55033.0: 23, 55646.0: 16, 54982.0: 16, 55054.0: 16, 54965.0: 14, 55029.0: 14, 266651.0: 12, 55087.0: 10, 55022.0: 9, 55608.0: 8, 55042.0: 7, 55057.0: 7, 55582.0: 7, 55119.0: 6, 266804.0: 5, 55045.0: 4, 55018.0: 3, 55092.0: 3, 55050.0: 3, 55008.0: 3, 266822.0: 3, 55588.0: 1, 55026.0: 1}"
13434.0,R,Bijnor,NFHS5,5000,55493.0,0.146,51,103,"{55493.0: 146, 55506.0: 50, 55549.0: 41, 55526.0: 40, 55510.0: 37, 267348.0: 36, 55567.0: 34, 55513.0: 34, 55544.0: 31, 55543.0: 28, 55507.0: 27, 55508.0: 24, 55521.0: 24, 55492.0: 23, 55495.0: 21, 55576.0: 21, 55536.0: 18, 55541.0: 18, 55515.0: 18, 270063.0: 17, 55503.0: 16, 55554.0: 15, 55512.0: 12, 55534.0: 12, 55559.0: 11, 55496.0: 11, 54914.0: 11, 55528.0: 10, 55562.0: 10, 55547.0: 9, 54886.0: 9, 55500.0: 9, 55556.0: 8, 55563.0: 8, 54956.0: 7, 55551.0: 7, 55499.0: 5, 55663.0: 5, 55520.0: 4, 54948.0: 4, 55511.0: 4, 55571.0: 4, 55523.0: 4, 55552.0: 3, 54908.0: 3, 55542.0: 2, 267353.0: 2, 55578.0: 1, 55527.0: 1, 55592.0: 1, 55516.0: 1}"
13435.0,R,Bijnor,NFHS5,5000,270168.0,0.119,44,114,"{270168.0: 119, 55221.0: 112, 55216.0: 54, 55228.0: 53, 55298.0: 44, 55259.0: 43, 55272.0: 41, 55291.0: 38, 270186.0: 27, 55142.0: 24, 55264.0: 21, 55180.0: 21, 55303.0: 20, 55284.0: 20, 55244.0: 20, 55242.0: 19, 55138.0: 18, 245665.0: 18, 270176.0: 17, 55147.0: 13, 270185.0: 12, 270213.0: 12, 55206.0: 12, 55268.0: 11, 55253.0: 10, 55205.0: 10, 55233.0: 10, 270210.0: 8, 55282.0: 8, 270182.0: 6, 55269.0: 6, 55144.0: 5, 270169.0: 5, 55184.0: 5, 55224.0: 4, 266987.0: 4, 55304.0: 3, 55225.0: 2, 55255.0: 2, 55266.0: 2, 55139.0: 2, 270180.0: 2, 55257.0: 2, 55227.0: 1}"
