DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA,round,tv_name,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,gp_lgd_code,gp_name,n_gps_constrained,clean_gp_constrained,at_risk_gp_constrained,no_gp_constrained,gp_distribution,has_cluster_to_village,gp_lgd_code_existing,has_existing_village_to_gp,village_name_from_village_file,district_from_village_file,subdistrict_from_village_file,gp_lgd_code_from_village_file,gp_name_from_village_file,has_village_to_gp_from_village_file,gp_lgd_code_best,has_any_village_to_gp,has_gp_to_reservation_history,coverage_status,gp_lgd_code_lookup2,gp_name_lgd,district_lgd,subdistrict_lgd,gp_norm,district_norm,subdistrict_norm,target_gp_name,target_gp_norm,dhs_district_hist_norm,lgd_district_hist_norm,res_gp_norm,res_district_hist_norm,n_res_rows,n_samitis,res_samitis,n_dose_values,dose_values,reservation_dose_n_candidate,reservation_dose_candidate,reserved_women_2005_candidate,reserved_women_2010_candidate,has_direct_gpname_dhsdistrict_reservation,has_combined_reservation,newly_recovered_by_direct_match,orig_reserved_women_2005,orig_reserved_women_2010,orig_reservation_2005,orig_reservation_2010,orig_reservation_dose_n,orig_reservation_dose,orig_match_stage,orig_gp_name_lgd,orig_district_lgd,orig_subdistrict_lgd,has_original_gp_lgd_match,fuzzy_samiti_reservation_dose,fuzzy_samiti_reservation_dose_n,fuzzy_samiti_reserved_women_2005,fuzzy_samiti_reserved_women_2010,fuzzy_samiti_reservation_2005,fuzzy_samiti_reservation_2010,fuzzy_samiti_gp_similarity,fuzzy_samiti_similarity,fuzzy_samiti_match_category,fuzzy_samiti_res_gp_display,fuzzy_samiti_res_samiti_display,has_fuzzy_samiti_match,working_match_source,working_reservation_dose,working_reservation_dose_n,working_reserved_women_2005,working_reserved_women_2010,working_reservation_2005,working_reservation_2010
291292.0,27.9823551018,74.6441417772,R,RAJASTHAN,Churu,NFHS4,Sangasar,8,102,485,70656,36902.0,Sangasar,6,False,True,False,"{""36902"": 1.0}",True,36902,True,Sangasar,Churu,Ratangarh,36902,Sangasar,True,36902,True,True,4_full_coverage,36902,Sangasar,Churu,Ratangarh,sangasar,churu,ratangarh,Sangasar,sangasar,churu,churu,sangasar,churu,1.0,1.0,ratangarh,1.0,never,0.0,never,0.0,0.0,True,True,False,0.0,0.0,SC,GEN,0.0,never,A_exact_gp_district_samiti,Sangasar,Churu,Ratangarh,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,never,0.0,0.0,0.0,SC,GEN
291293.0,27.6081632279,73.4373721881,R,RAJASTHAN,Bikaner,NFHS4,Nokhagaon,8,101,477,69636,36165.0,Nokha Gaon,7,False,True,False,"{""36165"": 1.0}",True,36165,True,Nokha Gaon,Bikaner,Nokha,36165,Nokha Gaon,True,36165,True,True,4_full_coverage,36165,Nokha Gaon,Bikaner,Nokha,nokhagaon,bikaner,nokha,Nokha Gaon,nokhagaon,bikaner,bikaner,nokhagaon,bikaner,1.0,1.0,nokha,1.0,never,0.0,never,0.0,0.0,True,True,False,0.0,0.0,GEN,OBC,0.0,never,A_exact_gp_district_samiti,Nokha Gaon,Bikaner,Nokha,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,never,0.0,0.0,0.0,GEN,OBC
291295.0,27.7672441292,71.6162076971,R,RAJASTHAN,Jaisalmer,NFHS4,Rohironwala,8,114,575,86184,294239.0,Ankal Ka Tala,3,False,True,False,"{""294239"": 1.0}",True,294239,True,Rohironwala,Jaisalmer,Pokaran,294239,Ankal Ka Tala,True,294239,True,False,3_gp_no_reservation_history,294239,Ankal Ka Tala,Jaisalmer,Pokaran,ankalkatala,jaisalmer,pokaran,Ankal Ka Tala,ankalkatala,jaisalmer,jaisalmer,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291296.0,26.4415577454,72.898115012,R,RAJASTHAN,Jodhpur,NFHS4,Indroka,8,113,570,84894,39801.0,Indroka,7,False,True,False,"{""39801"": 1.0}",True,39801,True,Indroka,Jodhpur,Jodhpur,39801,Indroka,True,39801,True,True,4_full_coverage,39801,Indroka,Jodhpur,Jodhpur,indroka,jodhpur,jodhpur,Indroka,indroka,jodhpur,jodhpur,indroka,jodhpur,1.0,1.0,mandor,1.0,once,1.0,once,1.0,0.0,True,True,False,1.0,0.0,GEN W,OBC,1.0,once,B_exact_gp_district,Indroka,Jodhpur,Jodhpur,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,once,1.0,1.0,0.0,GEN W,OBC
291297.0,27.3287357094,76.1245042812,R,RAJASTHAN,Jaipur,NFHS4,Bihajar,8,110,539,79237,38701.0,Talwa,7,False,True,False,"{""38701"": 1.0}",True,38701,True,Bihajar,Kotputli-Behror,Viratnagar,38701,Talwa,True,38701,True,False,3_gp_no_reservation_history,38701,Talwa,Kotputli-Behror,Viratnagar,talwa,kotputlibehror,viratnagar,Talwa,talwa,jaipur,jaipur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291298.0,23.6135761736,73.5140616796,R,RAJASTHAN,Dungarpur,NFHS4,Gesuon Ka Wanga,8,124,646,97656,262610.0,Sharam,5,False,True,False,"{""262610"": 1.0}",True,262610,True,Gesuon Ka Wanga,Dungarpur,Gamri Ahara,262610,Sharam,True,262610,True,False,3_gp_no_reservation_history,262610,Sharam,Dungarpur,Gamri Ahara,sharam,dungarpur,gamriahara,Sharam,sharam,dungarpur,dungarpur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291299.0,26.9471100796,76.7818345741,R,RAJASTHAN,Dausa,NFHS4,Parli,8,109,535,78304,294682.0,Parali,9,False,True,False,"{""294682"": 1.0}",True,294682,True,Parli,Dausa,Sikrai,294682,Parali,True,294682,True,False,3_gp_no_reservation_history,294682,Parali,Dausa,Sikrai,parali,dausa,sikrai,Parali,parali,dausa,dausa,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291300.0,25.2550670007,76.1068246744,R,RAJASTHAN,Kota,NFHS4,Doongarjya,8,127,666,101946,40313.0,Doongarja,8,False,True,False,"{""40313"": 1.0}",True,40313,True,Doongarjya,Kota,Digod,40313,Doongarja,True,40313,True,False,3_gp_no_reservation_history,40313,Doongarja,Kota,Digod,doongarja,kota,digod,Doongarja,doongarja,kota,kota,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291301.0,26.5266593207,73.4230567457,R,RAJASTHAN,Jodhpur,NFHS4,Artiya Kalan,8,113,569,84864,39670.0,Artiya Kalan,8,False,True,False,"{""39670"": 1.0}",True,39670,True,Artiya Kalan,Jodhpur (Gramin),Bhopalgarh,39670,Artiya Kalan,True,39670,True,False,3_gp_no_reservation_history,39670,Artiya Kalan,Jodhpur (Gramin),Bhopalgarh,artiyakalan,jodhpurgramin,bhopalgarh,Artiya Kalan,artiyakalan,jodhpur,jodhpur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,twice,2.0,1.0,1.0,GEN W,SCW,0.9523809523809523,1.0,high_confidence_gp_and_exact_samiti,artiya kala,BHOPALGARH,True,3_fuzzy_gpname_exact_or_close_samiti_match,twice,2.0,1.0,1.0,GEN W,SCW
291302.0,26.2768575991,74.7072021913,R,RAJASTHAN,Ajmer,NFHS4,Dholadanta Derathoo,8,119,611,92144,33784.0,Bhatiyani,6,False,True,False,"{""33784"": 1.0}",True,33784,True,Dholadanta Derathoo,Ajmer,Nasirabad,33784,Bhatiyani,True,33784,True,True,4_full_coverage,33784,Bhatiyani,Ajmer,Nasirabad,bhatiyani,ajmer,nasirabad,Bhatiyani,bhatiyani,ajmer,ajmer,bhatiyani,ajmer,1.0,1.0,peesangan,1.0,never,0.0,never,0.0,0.0,True,True,False,0.0,0.0,GEN,GEN,0.0,never,B_exact_gp_district,Bhatiyani,Ajmer,Nasirabad,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,never,0.0,0.0,0.0,GEN,GEN
291303.0,27.1077543347,75.4983078832,R,RAJASTHAN,Jaipur,NFHS4,Khijooriya,8,110,542,79491,38591.0,Karansar,11,False,True,False,"{""38591"": 1.0}",True,38591,True,Khijooriya,Jaipur (Gramin),Jobner,38591,Karansar,True,38591,True,False,3_gp_no_reservation_history,38591,Karansar,Jaipur (Gramin),Jobner,karansar,jaipurgramin,jobner,Karansar,karansar,jaipur,jaipur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291304.0,27.2106138307,76.0104467259,R,RAJASTHAN,Jaipur,NFHS4,Majipura,8,110,548,80477,262416.0,Bhuranpura,12,False,True,False,"{""262416"": 1.0}",True,262416,True,Majipura,Jaipur (Gramin),Jamwaramgarh,262416,Bhuranpura,True,262416,True,False,3_gp_no_reservation_history,262416,Bhuranpura,Jaipur (Gramin),Jamwaramgarh,bhuranpura,jaipurgramin,jamwaramgarh,Bhuranpura,bhuranpura,jaipur,jaipur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
