dhs_district_hist_norm,DHSREGNA,gp_lgd_code_best,target_gp_name,target_gp_norm,district_lgd,subdistrict_lgd,n_clusters_affected,sample_clusters,sample_villages,candidate_rank,candidate_found,similarity_score,res_gp_display,res_gp_norm,res_samiti_display,candidate_reservation_dose,candidate_reservation_dose_n,candidate_reserved_women_2005,candidate_reserved_women_2010,candidate_reservation_2005,candidate_reservation_2010,target_subdistrict_norm,candidate_samiti_norm,samiti_exact_match,samiti_similarity,samiti_close_match,high_gp_fuzzy_match,fuzzy_samiti_match_category
hanumangarh,Hanumangarh,38064,Jorkiyan,jorkiyan,Hanumangarh,Hanumangarh,2,290030 | 291465,16 MMK,1,True,0.9333333333333333,jorkiya,jorkiya,HANUMANGARH,never,0,0,0,GEN,SC,hanumangarh,hanumangarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
hanumangarh,Hanumangarh,38179,Kikarali,kikarali,Hanumangarh,Nohar,1,290771,ASARJANA,1,True,0.9333333333333333,kikrali,kikrali,NOHAR,once,1,0,1,GEN,GENW,nohar,nohar,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jaipur,Jaipur,38619,Dahmi Kalan,dahmikalan,Jaipur,Sanganer,1,291589,Dahmi Kalan,1,True,0.9,dehmikalan,dehmikalan,SANGANER,never,0,0,0,GEN,SC,sanganer,sanganer,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jaisalmer,Jaisalmer,38716,Chandhan,chandhan,Jaisalmer,Jaisalmer,1,290477,Karmon Ki Dhani,1,True,0.9333333333333333,chandan,chandan,JAISALMER,once,1,0,1,OBC,SCW,jaisalmer,jaisalmer,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jalore,Jalor,38876,Bhagal Septa,bhagalsepta,Jalore,Bhinmal,1,290225,Nasoli,1,True,0.9565217391304348,bhagalsephta,bhagalsephta,BHINMAL,never,0,0,0,OBC,GEN,bhinmal,bhinmal,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jalore,Jalor,38899,Narta,narta,Jalore,Bhinmal,1,290068,Narta,1,True,1.0,narta,narta,BHINMAL,once,1,0,1,GEN,GENW,bhinmal,bhinmal,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jalore,Jalor,38911,Bakara Road,bakararoad,Jalore,Jalore,1,291643,Bakraroad,1,True,0.9473684210526315,bakra road,bakraroad,JALORE,once,1,0,1,GEN,GENW,jalore,jalore,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jalore,Jalor,38965,Akhrad,akhrad,Sanchore,Raniwara,2,290757 | 291138,Dadoki | Daulatpura,1,True,0.9230769230769231,aakhrad,aakhrad,RANIWARA,never,0,0,0,GEN,SC,raniwara,raniwara,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jalore,Jalor,39055,Sayla,sayla,Jalore,Sayla,1,290080,Sayla,1,True,0.9090909090909091,sayala,sayala,SAYLA,once,1,1,0,SC W,GEN,sayla,sayla,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jhalawar,Jhalawar,39096,Nanor,nanor,Jhalawar,Bakani,1,290809,Maheshpura,1,True,0.9090909090909091,nanore,nanore,BAKANI,never,0,0,0,GEN,OBC,bakani,bakani,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jhunjhunu,Jhunjhunun,39408,Khudana,khudana,Jhunjhunu,Chirawa,1,290011,Khudana,1,True,1.0,khudana,khudana,CHIRAWA,once,1,1,0,GEN W,GEN,chirawa,chirawa,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jhunjhunu,Jhunjhunun,39553,Kakora,kakora,Jhunjhunu,Surajgarh,1,290105,Khyaliyon Ki Dhani,1,True,1.0,kakora,kakora,SURAJGARH,once,1,1,0,SC W,OBC,surajgarh,surajgarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
jodhpur,Jodhpur,39670,Artiya Kalan,artiyakalan,Jodhpur (Gramin),Bhopalgarh,1,291301,Artiya Kalan,1,True,0.9523809523809523,artiya kala,artiyakala,BHOPALGARH,twice,2,1,1,GEN W,SCW,bhopalgarh,bhopalgarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
karauli,Karauli,39986,Kyarda Khurd,kyardakhurd,Karauli,Hindaun,1,290765,Kyarda Khurd,1,True,0.9565217391304348,kayarda khurd,kayardakhurd,HINDAUN,once,1,0,1,ST,GENW,hindaun,hindaun,True,1.0,True,True,high_confidence_gp_and_exact_samiti
kota,Kota,40262,Mandliya,mandliya,Kota,Ladpura,2,290611 | 291350,Bakshpura | Mandalya,1,True,0.9411764705882353,mandaliya,mandaliya,LADPURA,never,0,0,0,SC,GEN,ladpura,ladpura,True,1.0,True,True,high_confidence_gp_and_exact_samiti
nagaur,Nagaur,40409,Khojash,khojash,Didwana-Kuchaman,Didwana,1,291722,Dhigariya,1,True,0.9230769230769231,khojas,khojas,DIDWANA,once,1,0,1,GEN,GENW,didwana,didwana,True,1.0,True,True,high_confidence_gp_and_exact_samiti
nagaur,Nagaur,40444,Chhajoli,chhajoli,Nagaur,Jayal,1,291663,Bhiniyad Chak-2 (B),1,True,0.9411764705882353,chhanjoli,chhanjoli,JAYAL,once,1,1,0,GEN W,GEN,jayal,jayal,True,1.0,True,True,high_confidence_gp_and_exact_samiti
nagaur,Nagaur,40449,Dotina,dotina,Nagaur,Jayal,1,291285,Dotina,1,True,1.0,dotina,dotina,JAYAL,never,0,0,0,GEN,OBC,jayal,jayal,True,1.0,True,True,high_confidence_gp_and_exact_samiti
nagaur,Nagaur,40462,Khatu Kallan,khatukallan,Nagaur,Jayal,1,291448,Dheejpura,1,True,0.9523809523809523,khatukalan,khatukalan,JAYAL,never,0,0,0,SC,GEN,jayal,jayal,True,1.0,True,True,high_confidence_gp_and_exact_samiti
nagaur,Nagaur,40487,Charnwas,charnwas,Didwana-Kuchaman,Kuchaman City,1,291564,Charanwas,1,True,0.9411764705882353,charnawas,charnawas,KUCHAMANCITY,never,0,0,0,SC,OBC,kuchamancity,kuchamancity,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,40805,Bijapur,bijapur,Pali,Bali,1,290709,Beejapur,1,True,1.0,bijapur,bijapur,BALI,once,1,0,1,SC,STW,bali,bali,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,40809,Dhani,dhani,Pali,Bali,1,290118,Karlai,1,True,1.0,dhani,dhani,BALI,never,0,0,0,GEN,GEN,bali,bali,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,40855,Nadol,nadol,Pali,Desuri,1,290462,Nadol,1,True,1.0,nadol,nadol,DESURI,twice,2,1,1,OBC W,SCW,desuri,desuri,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,40860,Anandpur Kalu,anandpurkalu,Beawar,Jaitaran,1,290972,Anandpur Kalu With Chak,1,True,0.9166666666666666,anadpur kalau,anadpurkalau,JAITARAN,once,1,0,1,GEN,GENW,jaitaran,jaitaran,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,40969,Biratiya Khurd,biratiyakhurd,Beawar,Raipur,1,290260,Birantiya Khurd,1,True,0.9629629629629629,birantiya khurd,birantiyakhurd,RAIPUR,never,0,0,0,OBC,SC,raipur,raipur,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,40993,Ratdiya,ratdiya,Beawar,Raipur,1,290515,Ratdiya,1,True,0.9333333333333333,raatdiya,raatdiya,RAIPUR,once,1,0,1,GEN,GENW,raipur,raipur,True,1.0,True,True,high_confidence_gp_and_exact_samiti
