gp_lgd_code,reserved_women_2005,reserved_women_2010,reservation_2005,reservation_2010,gp_name_res_2010,samiti_res_2010,district_res_2010,gp_name_lgd,district_lgd,subdistrict_lgd,match_stage,reservation_dose_n,reservation_dose,match_conflict_excluded
35233,0,1,GEN,GENW,mahilawas,SIWANA,BARMER,Mahilawas,Balotra,Siwana,C_unique_gp_name_statewide,1,once,0
35234,0,0,GEN,OBC,meli,SIWANA,BARMER,Meli,Balotra,Siwana,C_unique_gp_name_statewide,0,never,0
35239,1,1,ST W,GENW,rakhi,SIWANA,BARMER,Rakhi,Balotra,Samdari,C_unique_gp_name_statewide,2,twice,0
35240,0,0,ST,SC,ramaniya,SIWANA,BARMER,Ramaniya,Balotra,Siwana,C_unique_gp_name_statewide,0,never,0
35244,0,1,GEN,GENW,sanwarda,SIWANA,BARMER,Sanwarda,Balotra,Samdari,C_unique_gp_name_statewide,1,once,0
35247,0,0,OBC,GEN,sewali,SIWANA,BARMER,Sewali,Balotra,Samdari,C_unique_gp_name_statewide,0,never,0
35249,1,1,GEN W,GENW,siner,SIWANA,BARMER,Siner,Balotra,Siwana,C_unique_gp_name_statewide,2,twice,0
35251,0,0,GEN,SC,thapan,SIWANA,BARMER,Thapan,Balotra,Siwana,C_unique_gp_name_statewide,0,never,0
35252,0,1,SC,OBCW,bagren,BAYANA,BHARATPUR,Bagren,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35253,0,1,GEN,GENW,bajna,BAYANA,BHARATPUR,Bajna,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35254,0,1,GEN,GENW,barkheda,BHAINSRORGARH,CHITTORGARH,Barkheda,Bharatpur,Bayana,C_unique_gp_name_statewide,1,once,0
35261,0,1,GEN,SCW,farso,BAYANA,BHARATPUR,Farso,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35263,0,1,OBC,GENW,gurdha nadi,BAYANA,BHARATPUR,Gurdha Nadi,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35264,1,1,GEN W,GENW,harnagar,BAYANA,BHARATPUR,Harnagar,Bharatpur,Bayana,A_exact_gp_district_samiti,2,twice,0
35265,0,0,GEN,SC,jaisora,BAYANA,BHARATPUR,Jaisora,Bharatpur,Bayana,A_exact_gp_district_samiti,0,never,0
35266,0,0,SC,GEN,jaspuramoroli,BAYANA,BHARATPUR,Jaspura Moroli,Bharatpur,Bayana,A_exact_gp_district_samiti,0,never,0
35267,0,1,OBC,GENW,kair,BAYANA,BHARATPUR,Kair,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35269,0,0,OBC,GEN,kanawar,BAYANA,BHARATPUR,Kanawar,Bharatpur,Bayana,A_exact_gp_district_samiti,0,never,0
35271,1,0,SC W,OBC,karwari,BAYANA,BHARATPUR,Karwari,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35277,0,1,GEN,GENW,lahchorakalan,BAYANA,BHARATPUR,Lahchora Kalan,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35281,0,1,SC,GENW,milakpur,BAYANA,BHARATPUR,Milakpur,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35282,0,0,ST,OBC,nahroli,BAYANA,BHARATPUR,Nahroli,Bharatpur,Bayana,A_exact_gp_district_samiti,0,never,0
35283,0,0,ST,GEN,naroli,BAYANA,BHARATPUR,Naroli,Bharatpur,Bayana,A_exact_gp_district_samiti,0,never,0
35288,0,0,SC,GEN,salabad,BAYANA,BHARATPUR,Salabad,Bharatpur,Bayana,A_exact_gp_district_samiti,0,never,0
35290,1,1,SC W,OBCW,seedpur,BAYANA,BHARATPUR,Seedpur,Bharatpur,Bayana,A_exact_gp_district_samiti,2,twice,0
35292,0,0,SC,OBC,shergarh,BAYANA,BHARATPUR,Shergarh,Bharatpur,Bayana,A_exact_gp_district_samiti,0,never,0
35294,1,1,GEN W,STW,singhara,GOGUNDA,UDAIPUR,Singhara,Bharatpur,Bayana,C_unique_gp_name_statewide,2,twice,0
35296,0,1,OBC,SCW,thanadang,BAYANA,BHARATPUR,Thana Dang,Bharatpur,Bayana,A_exact_gp_district_samiti,1,once,0
35303,0,0,GEN,SC,bedham,DEEG,BHARATPUR,Bedham,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35304,0,1,GEN,OBCW,chulhera,DEEG,BHARATPUR,Chulhera,Deeg,Deeg,C_unique_gp_name_statewide,1,once,0
35305,0,0,SC,GEN,dantlothi,DEEG,BHARATPUR,Dantlothi,Deeg,Janoothar,C_unique_gp_name_statewide,0,never,0
35306,0,0,GEN,OBC,dhamari,DEEG,BHARATPUR,Dhamari,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35307,0,0,GEN,SC,didawali,DEEG,BHARATPUR,Didawali,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35308,0,0,GEN,GEN,guhana,DEEG,BHARATPUR,Guhana,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35311,0,0,GEN,SC,jatolithoon,DEEG,BHARATPUR,Jatoli Thoon,Deeg,Janoothar,C_unique_gp_name_statewide,0,never,0
35317,0,0,SC,GEN,korer,DEEG,BHARATPUR,Korer,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35318,1,1,GEN W,GENW,kuchawati,DEEG,BHARATPUR,Kuchawati,Deeg,Deeg,C_unique_gp_name_statewide,2,twice,0
35319,0,1,OBC,OBCW,mawai,DEEG,BHARATPUR,Mawai,Deeg,Janoothar,C_unique_gp_name_statewide,1,once,0
35323,1,1,SC W,GENW,panhori,DEEG,BHARATPUR,Panhori,Deeg,Deeg,C_unique_gp_name_statewide,2,twice,0
35325,0,0,GEN,SC,pasopa,DEEG,BHARATPUR,Pasopa,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35326,0,1,GEN,SCW,pasta,DEEG,BHARATPUR,Pasta,Deeg,Deeg,C_unique_gp_name_statewide,1,once,0
35329,0,0,GEN,OBC,sinsini,DEEG,BHARATPUR,Sinsini,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35331,0,0,GEN,GEN,songaon,DEEG,BHARATPUR,Songaon,Deeg,Deeg,C_unique_gp_name_statewide,0,never,0
35335,1,0,OBC W,GEN,barolidhau,KAMAN,BHARATPUR,Baroli Dhau,Deeg,Kaman,C_unique_gp_name_statewide,1,once,0
35337,0,0,GEN,OBC,bhandara,KAMAN,BHARATPUR,Bhandara,Deeg,Jurhara,C_unique_gp_name_statewide,0,never,0
35340,0,1,GEN,GENW,bilond,KAMAN,BHARATPUR,Bilond,Deeg,Kaman,C_unique_gp_name_statewide,1,once,0
35344,0,0,GEN,GEN,dholet,KAMAN,BHARATPUR,Dholet,Deeg,Pahari,C_unique_gp_name_statewide,0,never,0
35348,0,1,GEN,GENW,ghatmeeka,KAMAN,BHARATPUR,Ghatmeeka,Deeg,Pahari,C_unique_gp_name_statewide,1,once,0
35349,0,1,GEN,GENW,ghosinga,KAMAN,BHARATPUR,Ghosinga,Deeg,Pahari,C_unique_gp_name_statewide,1,once,0
35355,0,1,GEN,GENW,ladlaka,KAMAN,BHARATPUR,Ladlaka,Deeg,Pahari,C_unique_gp_name_statewide,1,once,0
35357,0,0,GEN,SC,luhesar,KAMAN,BHARATPUR,Luhesar,Deeg,Kaman,C_unique_gp_name_statewide,0,never,0
35358,0,1,GEN,GENW,musepur,KAMAN,BHARATPUR,Musepur,Deeg,Kaman,C_unique_gp_name_statewide,1,once,0
35362,0,0,GEN,GEN,olanda,KAMAN,BHARATPUR,Olanda,Deeg,Kaman,C_unique_gp_name_statewide,0,never,0
35364,0,0,GEN,OBC,palla,KAMAN,BHARATPUR,Palla,Deeg,Kaman,C_unique_gp_name_statewide,0,never,0
35366,1,0,SC W,GEN,sablana,KAMAN,BHARATPUR,Sablana,Deeg,Kaman,C_unique_gp_name_statewide,1,once,0
35368,0,1,GEN,GENW,sahsan,KAMAN,BHARATPUR,Sahsan,Deeg,Pahari,C_unique_gp_name_statewide,1,once,0
35371,1,0,GEN W,GEN,satwas,KAMAN,BHARATPUR,Satwas,Deeg,Kaman,C_unique_gp_name_statewide,1,once,0
35372,0,0,GEN,OBC,somka,KAMAN,BHARATPUR,Somka,Deeg,Pahari,C_unique_gp_name_statewide,0,never,0
35373,0,0,GEN,GEN,sonokhar,KAMAN,BHARATPUR,Sonokhar,Deeg,Jurhara,C_unique_gp_name_statewide,0,never,0
35377,0,0,GEN,SC,ajan,KUMHER,BHARATPUR,Ajan,Deeg,Rarah,C_unique_gp_name_statewide,0,never,0
35378,0,0,GEN,GEN,ajau,KUMHER,BHARATPUR,Ajau,Deeg,Kumher,C_unique_gp_name_statewide,0,never,0
35379,0,0,GEN,OBC,astawan,KUMHER,BHARATPUR,Astawan,Deeg,Kumher,C_unique_gp_name_statewide,0,never,0
35383,0,0,GEN,GEN,bailarakalan,KUMHER,BHARATPUR,Bailara Kalan,Deeg,Jurhara,C_unique_gp_name_statewide,0,never,0
35384,0,0,GEN,ST,bhata wali,KUMHER,BHARATPUR,Bhatawali,Deeg,Kumher,C_unique_gp_name_statewide,0,never,0
35389,0,1,OBC,GENW,gudawali,KUMHER,BHARATPUR,Gudawali,Deeg,Kumher,C_unique_gp_name_statewide,1,once,0
35390,1,1,GEN W,GENW,gunsara,KUMHER,BHARATPUR,Gunsara,Deeg,Rarah,C_unique_gp_name_statewide,2,twice,0
35391,0,1,GEN,OBCW,helak,KUMHER,BHARATPUR,Helak,Deeg,Kumher,C_unique_gp_name_statewide,1,once,0
35395,0,1,GEN,SCW,pahua,KUMHER,BHARATPUR,Pahua,Deeg,Kumher,C_unique_gp_name_statewide,1,once,0
35397,0,0,GEN,SC,paprera,KUMHER,BHARATPUR,Paprera,Deeg,Kumher,C_unique_gp_name_statewide,0,never,0
35401,0,1,ST,GENW,rundh helak,KUMHER,BHARATPUR,Rundh Helak,Deeg,Kumher,C_unique_gp_name_statewide,1,once,0
35402,1,0,GEN W,GEN,sabora,KUMHER,BHARATPUR,Sabora,Deeg,Kumher,C_unique_gp_name_statewide,1,once,0
35405,0,0,SC,GEN,sikrori,KUMHER,BHARATPUR,Sikrori,Deeg,Kumher,C_unique_gp_name_statewide,0,never,0
35406,0,1,SC,OBCW,sogar,KUMHER,BHARATPUR,Sogar,Deeg,Rarah,C_unique_gp_name_statewide,1,once,0
35412,0,1,OBC,GENW,usrani,KUMHER,BHARATPUR,Usrani,Deeg,Kumher,C_unique_gp_name_statewide,1,once,0
35423,1,0,GEN W,GEN,gagwana,NADBAI,BHARATPUR,Gagwana,Bharatpur,Nadbai,A_exact_gp_district_samiti,1,once,0
35424,0,0,OBC,SC,gangroli,NADBAI,BHARATPUR,Gangroli,Bharatpur,Nadbai,A_exact_gp_district_samiti,0,never,0
35426,0,0,GEN,SC,jahangeerpur,NADBAI,BHARATPUR,Jahangeerpur,Bharatpur,Nadbai,A_exact_gp_district_samiti,0,never,0
35427,1,1,SC W,GENW,jharkai,NADBAI,BHARATPUR,Jharkai,Bharatpur,Nadbai,A_exact_gp_district_samiti,2,twice,0
35435,0,1,GEN,SCW,khedi devi singh,NADBAI,BHARATPUR,Khedi Devisingh,Bharatpur,Nadbai,A_exact_gp_district_samiti,1,once,0
35436,1,0,GEN W,OBC,lakhanpur,NADBAI,BHARATPUR,Lakhanpur,Bharatpur,Nadbai,A_exact_gp_district_samiti,1,once,0
35437,0,0,GEN,OBC,luhasa,NADBAI,BHARATPUR,Luhasa,Bharatpur,Nadbai,A_exact_gp_district_samiti,0,never,0
35438,0,1,OBC,GENW,mai,NADBAI,BHARATPUR,Mai,Bharatpur,Nadbai,A_exact_gp_district_samiti,1,once,0
35439,0,1,OBC,SCW,nam,NADBAI,BHARATPUR,Nam,Bharatpur,Nadbai,A_exact_gp_district_samiti,1,once,0
35440,1,0,GEN W,ST,nayawas,NADBAI,BHARATPUR,Nayawas,Bharatpur,Nadbai,A_exact_gp_district_samiti,1,once,0
35445,1,1,SC W,GENW,piprau,NADBAI,BHARATPUR,Piprau,Bharatpur,Nadbai,A_exact_gp_district_samiti,2,twice,0
35450,0,0,ST,SC,utarda,NADBAI,BHARATPUR,Utarda,Bharatpur,Nadbai,A_exact_gp_district_samiti,0,never,0
35453,0,1,GEN,GENW,bhatpura,NAGAR,BHARATPUR,Bhatpura,Deeg,Nagar,C_unique_gp_name_statewide,1,once,0
35454,0,0,OBC,SC,bodoli,NAGAR,BHARATPUR,Bodoli,Deeg,Pahari,C_unique_gp_name_statewide,0,never,0
35455,1,1,GEN W,SCW,chirawalmali,NAGAR,BHARATPUR,Chirawal Mali,Deeg,Nagar,C_unique_gp_name_statewide,2,twice,0
35456,0,1,GEN,GENW,dabak,NAGAR,BHARATPUR,Dabak,Deeg,Sikri,C_unique_gp_name_statewide,1,once,0
35457,0,0,GEN,SC,dundawal,NAGAR,BHARATPUR,Dundawal,Deeg,Nagar,C_unique_gp_name_statewide,0,never,0
35459,0,0,GEN,ST,gahankar,NAGAR,BHARATPUR,Gahankar,Deeg,Nagar,C_unique_gp_name_statewide,0,never,0
35460,0,1,SC,GENW,gangawak,NAGAR,BHARATPUR,Gangawak,Deeg,Nagar,C_unique_gp_name_statewide,1,once,0
35461,0,1,GEN,GENW,gangora,NAGAR,BHARATPUR,Gangora,Deeg,Pahari,C_unique_gp_name_statewide,1,once,0
35466,0,0,OBC,GEN,jaluki,NAGAR,BHARATPUR,Jaluki,Deeg,Nagar,C_unique_gp_name_statewide,0,never,0
35467,1,1,GEN W,GENW,jhanjhar,NAGAR,BHARATPUR,Jhanjhar,Deeg,Sikri,C_unique_gp_name_statewide,2,twice,0
35472,1,0,GEN W,OBC,khesti,NAGAR,BHARATPUR,Khesti,Deeg,Nagar,C_unique_gp_name_statewide,1,once,0
35475,0,1,OBC,GENW,maliki,NAGAR,BHARATPUR,Maliki,Deeg,Pahari,C_unique_gp_name_statewide,1,once,0
35477,0,1,OBC,GENW,matuki,NAGAR,BHARATPUR,Matuki,Deeg,Pahari,C_unique_gp_name_statewide,1,once,0
35478,0,0,ST,OBC,moraka,NAGAR,BHARATPUR,Moraka,Deeg,Nagar,C_unique_gp_name_statewide,0,never,0
35484,0,0,GEN,OBC,pathrali,NAGAR,BHARATPUR,Pathrali,Deeg,Pahari,C_unique_gp_name_statewide,0,never,0
35488,0,1,OBC,SCW,rasiya,NAGAR,BHARATPUR,Rasiya,Deeg,Nagar,C_unique_gp_name_statewide,1,once,0
35494,0,1,SC,OBCW,sirthala,NAGAR,BHARATPUR,Sirthala,Deeg,Nagar,C_unique_gp_name_statewide,1,once,0
35497,0,0,GEN,GEN,teski,NAGAR,BHARATPUR,Teski,Deeg,Sikri,C_unique_gp_name_statewide,0,never,0
35498,1,1,GEN W,OBCW,thoon,NAGAR,BHARATPUR,Thoon,Deeg,Nagar,C_unique_gp_name_statewide,2,twice,0
35499,0,0,GEN,GEN,udkidalla,NAGAR,BHARATPUR,Udki Dalla,Deeg,Sikri,C_unique_gp_name_statewide,0,never,0
35500,1,1,GEN W,GENW,andhiyari,RUPBAS,BHARATPUR,Andhiyari,Bharatpur,Uchchain,B_exact_gp_district,2,twice,0
35502,0,1,GEN,OBCW,barigha,RUPBAS,BHARATPUR,Barigha,Bharatpur,Rupbas,A_exact_gp_district_samiti,1,once,0
35504,0,0,SC,GEN,bhainsa,RUPBAS,BHARATPUR,Bhainsa,Bharatpur,Uchchain,B_exact_gp_district,0,never,0
35505,0,0,SC,GEN,bhawanpura,RUPBAS,BHARATPUR,Bhawanpura,Bharatpur,Rudawal,B_exact_gp_district,0,never,0
35508,1,1,GEN W,OBCW,dahinagaon,RUPBAS,BHARATPUR,Dahinagaon,Bharatpur,Rudawal,B_exact_gp_district,2,twice,0
35511,0,1,GEN,GENW,dumariya,RUPBAS,BHARATPUR,Dumariya,Bharatpur,Rudawal,B_exact_gp_district,1,once,0
35512,0,1,GEN,GENW,fatehpur,RUPBAS,BHARATPUR,Fatehpur,Bharatpur,Uchchain,B_exact_gp_district,1,once,0
35514,0,0,SC,OBC,ibrahimpur,RUPBAS,BHARATPUR,Ibrahimpur,Bharatpur,Rupbas,A_exact_gp_district_samiti,0,never,0
35515,0,0,GEN,GEN,jatmasi,RUPBAS,BHARATPUR,Jatmasi,Bharatpur,Rupbas,A_exact_gp_district_samiti,0,never,0
35516,0,1,GEN,OBCW,jotroli,RUPBAS,BHARATPUR,Jotroli,Bharatpur,Rudawal,B_exact_gp_district,1,once,0
35521,1,0,GEN W,GEN,khudasa,RUPBAS,BHARATPUR,Khudasa,Bharatpur,Rupbas,A_exact_gp_district_samiti,1,once,0
35522,1,0,SC W,GEN,kurka,RUPBAS,BHARATPUR,Kurka,Bharatpur,Uchchain,B_exact_gp_district,1,once,0
35523,0,0,SC,GEN,madapura,RUPBAS,BHARATPUR,Madapura,Bharatpur,Rudawal,B_exact_gp_district,0,never,0
35524,0,0,GEN,OBC,mahalpurchura,RUPBAS,BHARATPUR,Mahalpur Chura,Bharatpur,Rudawal,B_exact_gp_district,0,never,0
35525,1,1,GEN W,SCW,maloni,RUPBAS,BHARATPUR,Maloni,Bharatpur,Rupbas,A_exact_gp_district_samiti,2,twice,0
35529,0,0,GEN,GEN,nagla beeja,RUPBAS,BHARATPUR,Nagla Beeja,Bharatpur,Uchchain,B_exact_gp_district,0,never,0
35531,1,0,OBC W,SC,nayagaon,RUPBAS,BHARATPUR,Nayagaon,Bharatpur,Rupbas,A_exact_gp_district_samiti,1,once,0
35532,0,0,GEN,GEN,nibhera,SAPOTRA,KARAULI,Nibhera,Bharatpur,Rudawal,C_unique_gp_name_statewide,0,never,0
35533,0,0,SC,OBC,noharda,RUPBAS,BHARATPUR,Noharda,Bharatpur,Rupbas,A_exact_gp_district_samiti,0,never,0
35534,0,1,OBC,GENW,odelgaddi,RUPBAS,BHARATPUR,Odel Gaddi,Bharatpur,Rupbas,A_exact_gp_district_samiti,1,once,0
35536,0,1,OBC,SCW,pichuna,RUPBAS,BHARATPUR,Pichuna,Bharatpur,Uchchain,B_exact_gp_district,1,once,0
35538,0,1,SC,GENW,rudawal,RUPBAS,BHARATPUR,Rudawal,Bharatpur,Rudawal,B_exact_gp_district,1,once,0
35539,0,0,GEN,SC,rundh roopbas,RUPBAS,BHARATPUR,Rundh Roopbas,Bharatpur,Rupbas,A_exact_gp_district_samiti,0,never,0
35545,0,1,GEN,SCW,aghapur,SEWAR,BHARATPUR,Aghapur,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35547,1,0,OBC W,GEN,bansikhurd,SEWAR,BHARATPUR,Bansi Khurd,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35549,0,1,SC,GENW,bilothi,SEWAR,BHARATPUR,Bilothi,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35550,0,0,SC,OBC,chichana,SEWAR,BHARATPUR,Chichana,Bharatpur,Bharatpur,B_exact_gp_district,0,never,0
35558,0,1,OBC,GENW,jaghina,SEWAR,BHARATPUR,Jaghina,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35559,1,1,SC W,OBCW,jatoli rathwan,SEWAR,BHARATPUR,Jatoli Rathwan,Bharatpur,Bharatpur,B_exact_gp_district,2,twice,0
35560,0,0,OBC,GEN,jharoli,SEWAR,BHARATPUR,Jharoli,Bharatpur,Bharatpur,B_exact_gp_district,0,never,0
35564,0,0,GEN,SC,ludhawai,SEWAR,BHARATPUR,Ludhawai,Bharatpur,Bharatpur,B_exact_gp_district,0,never,0
35565,1,0,SC W,GEN,madarpur,SEWAR,BHARATPUR,Madarpur,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35568,0,0,GEN,SC,malah,SEWAR,BHARATPUR,Malah,Bharatpur,Bharatpur,B_exact_gp_district,0,never,0
35569,0,0,GEN,OBC,morolikalan,SEWAR,BHARATPUR,Moroli Kalan,Bharatpur,Bharatpur,B_exact_gp_district,0,never,0
35571,0,0,GEN,ST,murwara,SEWAR,BHARATPUR,Murwara,Bharatpur,Bharatpur,B_exact_gp_district,0,never,0
35572,0,1,GEN,GENW,par,SEWAR,BHARATPUR,Par,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35575,0,0,SC,GEN,sunari,SEWAR,BHARATPUR,Sunari,Bharatpur,Bharatpur,B_exact_gp_district,0,never,0
35576,1,0,GEN W,OBC,tuhiya,SEWAR,BHARATPUR,Tuhiya,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35577,0,1,GEN,SCW,undra,SEWAR,BHARATPUR,Undra,Bharatpur,Bharatpur,B_exact_gp_district,1,once,0
35578,0,1,OBC,STW,alipur,WEIR,BHARATPUR,Alipur,Bharatpur,Bhusawar,B_exact_gp_district,1,once,0
35582,0,1,SC,GENW,bajherakalan,WEIR,BHARATPUR,Bajherakalan,Bharatpur,Weir,A_exact_gp_district_samiti,1,once,0
35587,1,1,ST W,SCW,chaintoli,WEIR,BHARATPUR,Chaintoli,Bharatpur,Bhusawar,B_exact_gp_district,2,twice,0
35590,0,0,OBC,SC,deewali,WEIR,BHARATPUR,Deewali,Bharatpur,Bhusawar,B_exact_gp_district,0,never,0
35591,0,0,GEN,GEN,dharsoni,WEIR,BHARATPUR,Dharsoni,Bharatpur,Weir,A_exact_gp_district_samiti,0,never,0
35593,1,0,GEN W,GEN,ghatari,WEIR,BHARATPUR,Ghatari,Bharatpur,Bhusawar,B_exact_gp_district,1,once,0
35595,0,0,GEN,SC,govindpura,WEIR,BHARATPUR,Govindpura,Bharatpur,Weir,A_exact_gp_district_samiti,0,never,0
35596,0,1,GEN,OBCW,halena,WEIR,BHARATPUR,Halena,Bharatpur,Weir,A_exact_gp_district_samiti,1,once,0
35598,0,1,GEN,GENW,hateejar,WEIR,BHARATPUR,Hateejar,Bharatpur,Weir,A_exact_gp_district_samiti,1,once,0
35599,0,0,GEN,SC,itamada,WEIR,BHARATPUR,Itamada,Bharatpur,Bhusawar,B_exact_gp_district,0,never,0
35601,0,0,SC,ST,jahanpur,WEIR,BHARATPUR,Jahanpur,Bharatpur,Weir,A_exact_gp_district_samiti,0,never,0
35603,1,1,GEN W,SCW,jharoti,WEIR,BHARATPUR,Jharoti,Bharatpur,Bhusawar,B_exact_gp_district,2,twice,0
35605,0,0,SC,GEN,lakhanpur,WEIR,BHARATPUR,Lakhanpur,Bharatpur,Weir,A_exact_gp_district_samiti,0,never,0
35607,0,0,ST,GEN,mainapura,WEIR,BHARATPUR,Mainapura,Bharatpur,Bhusawar,B_exact_gp_district,0,never,0
35611,0,0,SC,OBC,nithar,WEIR,BHARATPUR,Nithar,Bharatpur,Bhusawar,B_exact_gp_district,0,never,0
35612,0,0,SC,ST,pali,WEIR,BHARATPUR,Pali,Bharatpur,Weir,A_exact_gp_district_samiti,0,never,0
35614,0,0,ST,GEN,randheergarh,WEIR,BHARATPUR,Randheer Garh,Bharatpur,Bhusawar,B_exact_gp_district,0,never,0
35615,1,0,SC W,GEN,salempur kalan,WEIR,BHARATPUR,Salempur Kalan,Bharatpur,Bhusawar,B_exact_gp_district,1,once,0
35616,0,0,SC,GEN,salempur khurd,WEIR,BHARATPUR,Salempur Khurd,Bharatpur,Bhusawar,B_exact_gp_district,0,never,0
35617,1,1,GEN W,OBCW,samraya,WEIR,BHARATPUR,Samraya,Bharatpur,Weir,A_exact_gp_district_samiti,2,twice,0
35618,0,0,GEN,SC,sarsaina,WEIR,BHARATPUR,Sarsaina,Bharatpur,Weir,A_exact_gp_district_samiti,0,never,0
35619,0,1,GEN,GENW,sendhali,WEIR,BHARATPUR,Sendhali,Bharatpur,Bhusawar,B_exact_gp_district,1,once,0
35626,1,0,OBC W,GEN,antali,ASIND,BHILWARA,Antali,Beawar,Badnor,C_unique_gp_name_statewide,1,once,0
35627,0,0,SC,GEN,badnor,ASIND,BHILWARA,Badnor,Beawar,Badnor,C_unique_gp_name_statewide,0,never,0
35628,0,1,GEN,GENW,bajunda,ASIND,BHILWARA,Bajunda,Beawar,Badnor,C_unique_gp_name_statewide,1,once,0
35636,0,1,OBC,GENW,dantra,ASIND,BHILWARA,Dantra,Bhilwara,Asind,A_exact_gp_district_samiti,1,once,0
35640,0,0,GEN,GEN,iras,ASIND,BHILWARA,Iras,Bhilwara,Asind,A_exact_gp_district_samiti,0,never,0
35641,1,1,OBC W,GENW,jagpura,ASIND,BHILWARA,Jagpura,Bhilwara,Antali,B_exact_gp_district,2,twice,0
35643,0,0,GEN,OBC,jindras,ASIND,BHILWARA,Jindras,Bhilwara,Asind,A_exact_gp_district_samiti,0,never,0
35644,0,0,SC,GEN,kaliyas,ASIND,BHILWARA,Kaliyas,Bhilwara,Asind,A_exact_gp_district_samiti,0,never,0
35646,0,0,ST,SC,karjaliya,ASIND,BHILWARA,Karjaliya,Bhilwara,Asind,A_exact_gp_district_samiti,0,never,0
35649,0,0,GEN,GEN,mogar,ASIND,BHILWARA,Mogar,Beawar,Badnor,C_unique_gp_name_statewide,0,never,0
35650,1,1,SC W,OBCW,motipur,ASIND,BHILWARA,Motipur,Bhilwara,Antali,B_exact_gp_district,2,twice,0
35651,0,0,GEN,GEN,motras,ASIND,BHILWARA,Motras,Bhilwara,Antali,B_exact_gp_district,0,never,0
35655,1,1,SC W,OBCW,parasoli,ASIND,BHILWARA,Parasoli,Bhilwara,Asind,A_exact_gp_district_samiti,2,twice,0
35656,0,0,ST,OBC,paldi,ASIND,BHILWARA,Paldi,Bhilwara,Asind,A_exact_gp_district_samiti,0,never,0
35659,0,0,SC,OBC,raghunathpura,ASIND,BHILWARA,Raghunathpura,Bhilwara,Asind,A_exact_gp_district_samiti,0,never,0
35663,0,1,GEN,GENW,sangram garh,ASIND,BHILWARA,Sangramgarh,Beawar,Badnor,C_unique_gp_name_statewide,1,once,0
35665,1,1,OBC W,GENW,shambhu garh,ASIND,BHILWARA,Shambhugarh,Bhilwara,Antali,B_exact_gp_district,2,twice,0
35674,0,1,SC,GENW,chamanpura,BANERA,BHILWARA,Chamanpura,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35677,1,0,OBC W,GEN,kankoliya,BANERA,BHILWARA,Kankoliya,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35678,0,0,GEN,SC,kasoriya,BANERA,BHILWARA,Kasoriya,Shahpura,Banera,C_unique_gp_name_statewide,0,never,0
35679,0,1,OBC,STW,khedliya,BANERA,BHILWARA,Khedliya,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35680,1,1,GEN W,OBCW,kundiya kalan,BANERA,BHILWARA,Kundiya Kalan,Shahpura,Banera,C_unique_gp_name_statewide,2,twice,0
35682,0,1,OBC,GENW,lambiya khurd,BANERA,BHILWARA,Lambiya Khurd,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35683,0,0,SC,ST,mahuakhurd,BANERA,BHILWARA,Mahua Khurd,Shahpura,Banera,C_unique_gp_name_statewide,0,never,0
35684,0,1,GEN,GENW,meghras,BANERA,BHILWARA,Meghras,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35685,1,0,GEN W,GEN,mushi,BANERA,BHILWARA,Mushi,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35686,1,0,GEN W,GEN,nimbaheda kalan,BANERA,BHILWARA,Nimbaheda Kalan,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35688,0,1,GEN,OBCW,rakshi,BANERA,BHILWARA,Rakshi,Shahpura,Banera,C_unique_gp_name_statewide,1,once,0
35691,0,0,GEN,OBC,sardar nagar,BANERA,BHILWARA,Sardarnagar,Shahpura,Banera,C_unique_gp_name_statewide,0,never,0
35696,0,0,GEN,GEN,bhojras,HURDA,BHILWARA,Bhojras,Bhilwara,Hurda,A_exact_gp_district_samiti,0,never,0
